# E + Xe -> E + E + Xe+, Ionization
# Source: LXCat / Biagi database (MagBoltz V8.97)
# Target: Xe -> Xe^+
# Threshold: 12.13 eV
# Updated: 2013-06-05 16:31:25
# Data points: 54
energy_eV,cross_section_m2
12.1298,0.0
12.5,1.37e-21
13.0,3.44e-21
13.5,5.49e-21
14.0,7.48e-21
14.5,9.39e-21
15.0,1.12e-20
15.5,1.29e-20
16.0,1.46e-20
16.5,1.62e-20
17.0,1.77e-20
18.0,2.04e-20
19.0,2.3e-20
20.0,2.52e-20
21.0,2.73e-20
22.0,2.93e-20
23.0,3.1e-20
24.0,3.27e-20
26.0,3.56e-20
28.0,3.81e-20
30.0,4.03e-20
32.0,4.22e-20
34.0,4.39e-20
36.0,4.53e-20
40.0,4.73e-20
45.0,4.94e-20
50.0,5.11e-20
55.0,5.21e-20
60.0,5.31e-20
65.0,5.36e-20
70.0,5.4e-20
80.0,5.46e-20
90.0,5.56e-20
100.0,5.68e-20
110.0,5.75e-20
120.0,5.75e-20
130.0,5.7e-20
140.0,5.58e-20
150.0,5.48e-20
160.0,5.35e-20
180.0,5.11e-20
200.0,4.83e-20
250.0,4.36e-20
300.0,4.02e-20
350.0,3.72e-20
400.0,3.46e-20
450.0,3.24e-20
500.0,3.06e-20
550.0,2.87e-20
600.0,2.72e-20
700.0,2.49e-20
800.0,2.26e-20
900.0,2.1e-20
1000.0,1.94e-20
